gene_name,sample_name,season,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
AAC(3)-VIa,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(3),ARO:3002540,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.6667,100,,,,,,,7704074,0,0
AAC(6')-IIa,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'),ARO:3002594,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3002594|ID:1657|Name:AAC(6')-IIa|NCBI:AY123251.1,27.21,0.27,,7704074,0.4,0.11
AAC(6')-Ib-cr5,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'); AAC(6')-Ib-cr,ARO:3005115,fluoroquinolone antibiotic; aminoglycoside antibiotic,aminoglycoside antibiotic; fluoroquinolone antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3005115|ID:3842|Name:AAC(6')-Ib-cr5|NCBI:EU161636.1,72.25,1.63,,7704074,2.41,0.65
AAC(6')-Ib-cr6,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'); AAC(6')-Ib-cr,ARO:3005116,fluoroquinolone antibiotic; aminoglycoside antibiotic,aminoglycoside antibiotic; fluoroquinolone antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3005116|ID:3843|Name:AAC(6')-Ib-cr6|NCBI:EU675686.2,37,0.5,,7704074,0.8,0.2
AAC(6')-Ib10,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'),ARO:3002581,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,94.1176,99.48,Unknown taxonomy (chromosome or plasmid),,,,,,7704074,0,0
AAC(6')-Ib7,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'),ARO:3002578,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,52,ARO:3002578|ID:2117|Name:AAC(6')-Ib7|NCBI:KR091911.1,73.79,7.4,Klebsiella pneumoniae (chromosome or plasmid): 1; ,7704074,20.85,2.97
AAC(6')-Iih,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'),ARO:3002590,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.8043,100,,,,,,,7704074,0,0
AAC(6')-Isa,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(6'),ARO:3002563,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,5.0633,100,,,,,,,7704074,0,0
ACT-64,Influent_WWTP_2_1_24_MH1_S340,wet,ACT beta-lactamase,ARO:3006259,carbapenem; cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3006259|ID:4155|Name:ACT-64|NCBI:NG_061403.1,18.76,0.26,Enterobacter kobei (chromosome): 2; ,7704074,0.8,0.1
ADC-254,Influent_WWTP_2_1_24_MH1_S340,wet,ADC beta-lactamases pending classification for carbapenemase activity,ARO:3006424,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.0833,100,,,,,,,7704074,0,0
ANT(2'')-Ia,Influent_WWTP_2_1_24_MH1_S340,wet,ANT(2''),ARO:3000230,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3000230|ID:1372|Name:ANT(2'')-Ia|NCBI:AF078527.1,34.64,0.81,,7704074,1.2,0.32
ANT(3'')-II-AAC(6')-IId bifunctional protein,Influent_WWTP_2_1_24_MH1_S340,wet,aminoglycoside bifunctional resistance protein,ARO:3002598,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,15,ARO:3002598|ID:339|Name:ANT(3'')-II-AAC(6')-IId_bifunctional_protein|NCBI:AF453998.2,48.28,1.57,Pseudomonas aeruginosa (chromosome or plasmid): 1; ,7704074,6.02,0.63
ANT(3'')-IIa,Influent_WWTP_2_1_24_MH1_S340,wet,ANT(3''),ARO:3004089,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,81.1728,99.62,Unknown taxonomy (chromosome or plasmid),30,ARO:3004089|ID:2752|Name:ANT(3'')-IIa|NCBI:X02340.1,85.29,4.3,Aeromonas veronii (chromosome or plasmid): 1; Enterobacter kobei (chromosome or plasmid): 1; ,7704074,12.03,1.72
ANT(3'')-IIb,Influent_WWTP_2_1_24_MH1_S340,wet,ANT(3''),ARO:3004090,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3004090|ID:2754|Name:ANT(3'')-IIb|NCBI:APPC01000022.1,2.15,0.02,,7704074,0.4,0.01
ANT(3'')-IIc,Influent_WWTP_2_1_24_MH1_S340,wet,ANT(3''),ARO:3004091,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,64.2308,86.83,Acinetobacter johnsonii (no genomic info),2,ARO:3004091|ID:2755|Name:ANT(3'')-IIc|NCBI:APOM01000001.1,20.51,0.37,,7704074,0.8,0.15
ANT(6)-Ia,Influent_WWTP_2_1_24_MH1_S340,wet,ANT(6),ARO:3002626,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3002626|ID:914|Name:ANT(6)-Ia|NCBI:KF648874.1,21.3,0.34,,7704074,0.8,0.14
APH(2'')-Ig,Influent_WWTP_2_1_24_MH1_S340,wet,APH(2''),ARO:3002669,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.9544,100,,,,,,,7704074,0,0
APH(3'')-Ib,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3''),ARO:3002639,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,2,Nudged;Strict,99.6269,99.815,Unknown taxonomy (chromosome or plasmid),39,ARO:3002639|ID:1830|Name:APH(3'')-Ib|NCBI:AF313472.2,100,6.44,,7704074,15.64,2.58
APH(3')-IIIa,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3'),ARO:3002647,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,23.7736,98.41,Unknown taxonomy (chromosome or plasmid),7,ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067.1,48.81,0.64,,7704074,2.81,0.26
APH(3')-IIb,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3'),ARO:3002645,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3002645|ID:954|Name:APH(3')-IIb|NCBI:X90856.1,18.71,0.56,Pseudomonas (chromosome or plasmid): 3; ,7704074,1.2,0.22
APH(3')-IVa,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3'),ARO:3002648,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3002648|ID:1260|Name:APH(3')-IVa|NCBI:X03364.1,2.15,0.02,,7704074,0.4,0.01
APH(3')-Ia,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3'),ARO:3002641,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,43.0147,99.15,Unknown taxonomy (chromosome or plasmid),11,ARO:3002641|ID:291|Name:APH(3')-Ia|NCBI:BX664015.1,70.96,1.46,,7704074,4.41,0.59
APH(3')-Ib,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3'),ARO:3002642,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3002642|ID:835|Name:APH(3')-Ib|NCBI:M20305.1,12.62,0.19,,7704074,1.2,0.08
APH(3')-VIa,Influent_WWTP_2_1_24_MH1_S340,wet,APH(3'),ARO:3002652,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3002652|ID:1121|Name:APH(3')-VIa|NCBI:X07753.1,17.82,0.23,Acinetobacter baumannii (chromosome or plasmid): 1; ,7704074,0.8,0.09
APH(6)-Id,Influent_WWTP_2_1_24_MH1_S340,wet,APH(6),ARO:3002660,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6416,99.64,Unknown taxonomy (chromosome or plasmid),68,ARO:3002660|ID:1031|Name:APH(6)-Id|NCBI:AF024602.1,100,10.24,Escherichia coli (chromosome or plasmid): 5; Shigella sonnei (chromosome or plasmid): 1; Escherichia coli (plasmid): 6; ,7704074,27.27,4.11
AQU-1,Influent_WWTP_2_1_24_MH1_S340,wet,AQU beta-lactamase,ARO:3002993,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3002993|ID:1711|Name:AQU-1|NCBI:AB765395.1,13.21,0.13,,7704074,0.4,0.05
AQU-2,Influent_WWTP_2_1_24_MH1_S340,wet,AQU beta-lactamase,ARO:3004647,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,7,ARO:3004647|ID:3346|Name:AQU-2|NCBI:KF730243.1,38.15,0.4,,7704074,2.81,0.16
AQU-3,Influent_WWTP_2_1_24_MH1_S340,wet,AQU beta-lactamase,ARO:3004648,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3004648|ID:3347|Name:AQU-3|NCBI:KF730244.1,25.33,0.13,Aeromonas hydrophila (chromosome): 1; ,7704074,0.8,0.05
AcrF,Influent_WWTP_2_1_24_MH1_S340,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000502,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,beta-lactam antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,2,Nudged,14.7826,99.35,Unknown taxonomy (chromosome or plasmid),17,ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096.1,45.93,0.42,Enterobacter asburiae (chromosome): 1; Bacteroides ovatus (chromosome): 1; ,7704074,6.82,0.17
AcrS,Influent_WWTP_2_1_24_MH1_S340,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000656,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; fluoroquinolone antibiotic; tetracycline antibiotic; rifamycin antibiotic; beta-lactam antibiotic; phenicol antibiotic,antibiotic efflux,protein homolog,1,Nudged,36.1991,100,Unknown taxonomy (chromosome or plasmid),4,ARO:3000656|ID:520|Name:AcrS|NCBI:U00096.1,36.65,0.9,,7704074,1.6,0.36
ArnT,Influent_WWTP_2_1_24_MH1_S340,wet,pmr phosphoethanolamine transferase,ARO:3005053,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,13.4058,95.95,Klebsiella oxytoca (chromosome),11,ARO:3005053|ID:3795|Name:ArnT|NCBI:FO834906.1,41.49,0.47,Klebsiella huaxiensis (chromosome): 2; Raoultella planticola (chromosome): 1; Klebsiella (chromosome): 2; ,7704074,4.41,0.19
AxyY,Influent_WWTP_2_1_24_MH1_S340,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004144,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,macrolide antibiotic; aminoglycoside antibiotic; beta-lactam antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,28,ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1,32.31,0.19,Aeromonas caviae (chromosome): 2; ,7704074,11.23,0.08
BAT-1,Influent_WWTP_2_1_24_MH1_S340,wet,BAT Beta-lactamase,ARO:3004747,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.6022,100,,,,,,,7704074,0,0
BES-1,Influent_WWTP_2_1_24_MH1_S340,wet,BES Beta-lactamase,ARO:3004751,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,10,ARO:3004751|ID:3560|Name:BES-1|NCBI:AF234999.1,73.61,0.86,,7704074,4.01,0.34
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,Influent_WWTP_2_1_24_MH1_S340,wet,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,82,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,42.12,0.9,Bifidobacterium bifidum (chromosome): 2; Bifidobacterium longum (chromosome): 1; ,7704074,32.89,0.36
Bifidobacterium bifidum ileS conferring resistance to mupirocin,Influent_WWTP_2_1_24_MH1_S340,wet,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),ARO:3003730,mupirocin-like antibiotic,mupirocin-like antibiotic,antibiotic target alteration,protein homolog,0,,,,,7,ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1,13.42,0.18,,7704074,2.81,0.07
BlaB-16,Influent_WWTP_2_1_24_MH1_S340,wet,BlaB beta-lactamase,ARO:3005529,carbapenem; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.6,100,,,,,,,7704074,0,0
CARB-14,Influent_WWTP_2_1_24_MH1_S340,wet,CARB beta-lactamase,ARO:3002252,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3002252|ID:368|Name:CARB-14|NCBI:JQ364968.1,31.33,0.58,,7704074,2.41,0.23
CARB-16,Influent_WWTP_2_1_24_MH1_S340,wet,CARB beta-lactamase,ARO:3002255,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Strict,97.9933,99.66,Unknown taxonomy (chromosome or plasmid),,,,,,7704074,0,0
CARB-5,Influent_WWTP_2_1_24_MH1_S340,wet,CARB beta-lactamase,ARO:3002244,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,27,ARO:3002244|ID:10|Name:CARB-5|NCBI:AF135373.1,89.52,4.3,,7704074,10.83,1.72
CARB-51,Influent_WWTP_2_1_24_MH1_S340,wet,CARB beta-lactamase,ARO:3005585,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3005585|ID:4435|Name:CARB-51|NCBI:NG_066505.1,23.76,0.35,,7704074,0.8,0.14
CMY-8b,Influent_WWTP_2_1_24_MH1_S340,wet,CMY beta-lactamase,ARO:3006464,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,ARO:3006464|ID:4479|Name:CMY-8b|NCBI:NG_048887.1,28.89,0.13,,7704074,2.01,0.05
CPS-1,Influent_WWTP_2_1_24_MH1_S340,wet,CPS beta-lactamase,ARO:3003716,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.4055,100,,,,,,,7704074,0,0
